rank,gid,role,priority_score,why
15,100000000331309100,distributor,0.719,"веерная рассылка: 99 получателей, отправил 23.0 млн; видимый вход 985 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника). Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (23.0 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 5. Требует проверки."
16,100000002838861100,consolidator,0.7074,"признаки консолидации: 5 плательщиков (из них seed: 2), получил 555 тыс; отдал дальше 2%; связан с 2 seed; взаимные переводы с 1; доля seed-денег ~73%. Приоритет: верхние 10% по seed-деньгам (~403 тыс). Роль устойчива в 67% вариантов порогов. Кластер 19. Требует проверки."
17,100000004847758100,distributor,0.7032,"веерная рассылка: 15 получателей, отправил 489 тыс; видимый вход 115 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 67% вариантов порогов. Кластер 36. Требует проверки."
18,100000007055802100,consolidator,0.701,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 2.0 млн; отдал дальше 30%; до 4 плательщиков в день; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~255 тыс), крупный оборот (2.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
19,100000007639767100,distributor,0.699,"веерная рассылка: 10 получателей, отправил 822 тыс; видимый вход 91 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 44% вариантов порогов. Кластер 38. Требует проверки."
20,100000001697501100,distributor,0.6975,"веерная рассылка: 38 получателей, отправил 1.5 млн; видимый вход 124 тыс, источник вне выгрузки; связан с 1 seed; взаимные переводы с 3. Приоритет: крупный оборот (1.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 1. Требует проверки."
21,100000001530983100,distributor,0.6968,"веерная рассылка: 11 получателей, отправил 1.8 млн; видимый вход 564 тыс, источник вне выгрузки; связан с 2 seed. Приоритет: верхние 10% по seed-деньгам (~393 тыс), крупный оборот (1.8 млн). Роль устойчива в 44% вариантов порогов. Кластер 4. Требует проверки."
22,100000004071080100,consolidator,0.6963,"признаки консолидации: 9 плательщиков (из них seed: 1), получил 239 тыс; отдал дальше 19%; связан с 1 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~71 тыс). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
23,100000006866783100,coordinator,0.6953,"[seed] признаки координации: 13 плательщиков и 67 получателей; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (3.9 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Уже известен (seed). Требует проверки."
24,100000005339662100,transit,0.6921,"признаки транзита: получил 203 тыс, отправил 295 тыс; 77% отправлено в течение 2 дней после входа; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 18. Роль — гипотеза по косвенным признакам. Требует проверки."
25,100000003265158100,transit,0.6914,"признаки транзита: получил 146 тыс, отправил 154 тыс; 100% отправлено в течение 2 дней после входа; связан с 2 seed; доля seed-денег ~67%. Приоритет: верхние 10% по seed-деньгам (~103 тыс). Роль устойчива в 67% вариантов порогов. Кластер 10. Роль — гипотеза по косвенным признакам. Требует проверки."
26,100000000437046100,distributor,0.6884,"веерная рассылка: 42 получателя, отправил 7.6 млн; видимый вход 1.1 млн, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: синхронные поступления от нескольких плательщиков, крупный оборот (7.6 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
27,100000008723830100,transit,0.6874,"признаки транзита: получил 460 тыс, отправил 455 тыс (99%); 100% отправлено в течение 2 дней после входа; связан с 1 seed; доля seed-денег ~99%. Приоритет: верхние 10% по seed-деньгам (~454 тыс). Роль устойчива в 100% вариантов порогов. Кластер 4. Требует проверки."
28,100000005910114100,distributor,0.686,"веерная рассылка: 19 получателей, отправил 1.5 млн; видимый вход 326 тыс, источник вне выгрузки; связан с 2 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
29,100000008477350100,distributor,0.6839,"веерная рассылка: 39 получателей, отправил 3.4 млн; видимый вход 610 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (3.4 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
30,100000004400305100,distributor,0.6838,"веерная рассылка: 82 получателя, отправил 5.8 млн; видимый вход 223 тыс, источник вне выгрузки; участвует в круговых потоках (3+ участника); связь с seed-деньгами слабая, возможна легальная активность. Приоритет: крупный оборот (5.8 млн). Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
31,100000003016635100,coordinator,0.6813,"[seed] признаки координации: 8 плательщиков и 73 получателя; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~106 тыс), синхронные поступления от нескольких плательщиков, крупный оборот (9.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 4. Уже известен (seed). Требует проверки."
32,100000008560717100,consolidator,0.6786,"признаки консолидации: 7 плательщиков (из них seed: 1), получил 529 тыс; отдал дальше 5%; связан с 1 seed. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 5. Требует проверки."
33,100000008748914100,distributor,0.6775,"веерная рассылка: 13 получателей, отправил 4.5 млн; видимый вход 180 тыс, источник вне выгрузки; связан с 2 seed; взаимные переводы с 1. Приоритет: верхние 10% по seed-деньгам (~97 тыс), крупный оборот (4.5 млн). Роль устойчива в 100% вариантов порогов. Кластер 3. Требует проверки."
34,100000007442518100,transit,0.6771,"признаки транзита: получил 510 тыс, отправил 4.4 млн; 90% отправлено в течение 2 дней после входа; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (4.4 млн). Роль устойчива в 67% вариантов порогов. Кластер 35. Роль — гипотеза по косвенным признакам. Требует проверки."
35,100000003635170100,transit,0.6722,"признаки транзита: получил 268 тыс, отправил 254 тыс (94%); 100% отправлено в течение 2 дней после входа; связан с 1 seed; взаимные переводы с 2. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 40. Требует проверки."
36,100000008637537100,transit,0.6714,"[seed] признаки транзита: получил 620 тыс, отправил 2.4 млн; 100% отправлено в течение 2 дней после входа; связан ещё с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~615 тыс), крупный оборот (2.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 48. Уже известен (seed). Роль — гипотеза по косвенным признакам. Требует проверки."
37,100000004759121100,consolidator,0.6492,"признаки консолидации: 6 плательщиков (из них seed: 1), получил 710 тыс; отдал дальше 44%; связан с 1 seed; взаимные переводы с 1. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
38,100000001732159100,transit,0.6453,"[seed] признаки транзита: получил 2.4 млн, отправил 1.5 млн; 91% отправлено в течение 2 дней после входа; связан ещё с 2 seed; участвует в круговых потоках (3+ участника); доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~2.4 млн), крупный оборот (2.4 млн). Роль устойчива в 100% вариантов порогов. Кластер 48. Уже известен (seed). Роль — гипотеза по косвенным признакам. Требует проверки."
39,100000002398779100,consolidator,0.6449,"признаки консолидации: 13 плательщиков, получил 1.1 млн; отдал дальше 6%; до 7 плательщиков в день; связь с seed-деньгами слабая, возможна легальная активность. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 2. Требует проверки."
40,100000005382566100,consolidator,0.6434,"[seed] признаки консолидации: 7 плательщиков (из них seed: 6), получил 393 тыс; видимый вход неполный; связан ещё с 6 seed; взаимные переводы с 1; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~340 тыс). Роль устойчива в 100% вариантов порогов. Кластер 22. Уже известен (seed). Требует проверки."
41,100000003004487100,transit,0.6387,"признаки транзита: получил 184 тыс, отправил 265 тыс; 92% отправлено в течение 2 дней после входа; связан с 1 seed; взаимные переводы с 1. Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 37. Роль — гипотеза по косвенным признакам. Требует проверки."
42,100000000343175100,coordinator,0.637,"[seed] признаки координации: 8 плательщиков и 31 получатель; связан ещё с 1 seed; доля seed-денег ~100%. Приоритет: верхние 10% по seed-деньгам (~74 тыс), крупный оборот (4.0 млн). Роль устойчива в 100% вариантов порогов. Кластер 16. Уже известен (seed). Требует проверки."
43,100000002723538100,distributor,0.6356,"веерная рассылка: 12 получателей, отправил 560 тыс; видимый вход 106 тыс, источник вне выгрузки; связан с 1 seed; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Роль устойчива в 100% вариантов порогов. Кластер 6. Требует проверки."
44,100000005171642100,transit,0.633,"признаки транзита: получил 697 тыс, отправил 684 тыс (98%); 96% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: совокупность структурных признаков. Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 32. Требует проверки."
45,100000002527114100,distributor,0.6286,"[seed] веерная рассылка: 111 получателей, отправил 3.3 млн; взаимные переводы с 3; доля seed-денег ~100%. Приоритет: крупный оборот (3.3 млн). Роль устойчива в 100% вариантов порогов. Кластер 1. Уже известен (seed). Требует проверки."
46,100000002894076100,terminal,0.6276,"конечная точка в пределах выгрузки: получил 1.1 млн от 4 плательщиков, исходящих нет; доля seed-денег ~73%; связан с 2 seed. Приоритет: верхние 10% по seed-деньгам (~822 тыс), синхронные поступления от нескольких плательщиков. Роль устойчива в 67% вариантов порогов. Кластер 9. Требует проверки."
47,100000004403675100,peripheral,0.6231,"выраженных признаков нет: 4 вх./5 исх., оборот 265 тыс; связан с 3 seed; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~94 тыс). Роль устойчива в 100% вариантов порогов. Кластер 22. Требует проверки."
48,100000006972210100,terminal,0.6215,"конечная точка в пределах выгрузки: получил 489 тыс от 3 плательщиков, исходящих нет; доля seed-денег ~100%; связан с 3 seed. Приоритет: верхние 10% по seed-деньгам (~489 тыс). Роль устойчива в 100% вариантов порогов. Кластер 19. Требует проверки."
49,100000008512552100,transit,0.6211,"признаки транзита: получил 394 тыс, отправил 1.3 млн; 100% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: крупный оборот (1.3 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 17. Роль — гипотеза по косвенным признакам. Требует проверки."
50,100000002224132100,transit,0.6203,"признаки транзита: получил 4.0 млн, отправил 12.1 млн; 73% отправлено в течение 2 дней после входа; участвует в круговых потоках (3+ участника). Приоритет: верхние 10% по seed-деньгам (~181 тыс), крупный оборот (12.1 млн). Связь с seed не подтверждена: приоритет за счёт структуры, возможна легальная активность. Роль устойчива в 100% вариантов порогов. Кластер 27. Роль — гипотеза по косвенным признакам. Требует проверки."
